lon,lat,p_iid,p_bym,p_bym_cov
98.8309,47.2016,0.8431137724550898,0.6179640718562874,0.6353293413173653
96.4965,47.1366,0.9871257485029941,0.8982035928143712,0.8811377245508982
94.1737,47.0071,0.6461077844311377,0.837125748502994,0.8467065868263473
91.8699,46.8138,0.08383233532934131,0.10239520958083832,0.09191616766467066
89.5923,46.558,0.1029940119760479,0.137125748502994,0.14580838323353293
87.3474,46.2411,0.36946107784431137,0.20419161676646708,0.20179640718562875
85.1414,45.8651,0.016467065868263474,0.03323353293413173,0.026646706586826347
82.9795,45.432,0.2308383233532934,0.18862275449101795,0.18892215568862275
80.8664,44.9442,0.029341317365269463,0.5473053892215569,0.4562874251497006
78.8059,44.4042,0.8682634730538922,0.8194610778443113,0.807185628742515
76.8014,43.8149,0.2712574850299401,0.3532934131736527,0.33592814371257484
74.8552,43.1789,0.3347305389221557,0.7853293413173653,0.7931137724550898
69.3814,41.0204,0.4748502994011976,0.5625748502994012,0.5404191616766467
67.6804,40.2271,0.17604790419161676,0.2994011976047904,0.27335329341317366
66.0409,39.4016,0.7523952095808383,0.8224550898203593,0.8353293413173652
64.4623,38.5467,0.7727544910179641,0.7059880239520958,0.7056886227544911
61.4831,36.7595,0.8862275449101796,0.8748502994011976,0.8892215568862275
60.0796,35.8323,0.7308383233532935,0.7793413173652695,0.7850299401197605
58.7314,34.8858,1.0,1.0,1.0
57.4366,33.9223,1.0,1.0,1.0
55.0,31.9528,1.0,1.0,1.0
53.8542,30.9507,0.8604790419161676,0.8532934131736527,0.8601796407185629
52.7543,29.9394,0.46526946107784434,0.3835329341317365,0.35179640718562877
129.876,43.1217,0.47065868263473054,0.38682634730538923,0.39520958083832336
128.0092,43.8733,0.6011976047904192,0.344311377245509,0.33592814371257484
126.0754,44.5832,0.6586826347305389,0.5431137724550898,0.5565868263473054
124.0755,45.2482,0.7338323353293413,0.8203592814371258,0.8326347305389221
122.0113,45.8651,0.7949101796407185,0.7991017964071856,0.8116766467065868
119.8852,46.4309,0.858682634730539,0.6182634730538922,0.6275449101796408
117.7004,46.9425,0.6955089820359281,0.38173652694610777,0.3979041916167665
115.4612,47.3973,0.10059880239520957,0.03413173652694611,0.03622754491017964
113.1726,47.7924,0.8137724550898203,0.5544910179640719,0.5808383233532934
110.8403,48.1256,0.9218562874251497,0.7802395209580838,0.8116766467065868
