"","lat","long","elev"
"246",45.6169,98.8767,1335.9
"247",45.5551,96.6335,2578
"248",45.432,94.4007,1670.7
"249",45.2482,92.1847,1518.5
"250",45.0047,89.992,1035.8
"251",44.7031,87.8285,478.1
"252",44.3448,85.6997,475
"253",43.9319,83.6105,3768.1
"254",42.3874,77.6199,1602
"255",41.7788,75.7256,3009.7
"256",38.9462,68.707,2755.3
"257",37.3286,65.5392,260.8
"258",36.4786,64.0395,803.7
"259",35.6045,62.5946,559.8
"260",34.7085,61.2034,761
"261",33.7931,59.8645,1330.6
"262",32.8602,58.5763,1204.9
"263",30.9507,56.1458,1495.1
"264",29.9778,55,1718
"265",28.9951,53.8983,1538.1
"266",41.7788,128.8557,1024.3
"267",42.4993,127.0309,574.1
"268",43.1789,125.1448,338.5
"269",43.8149,123.1986,150
"270",44.4042,121.1941,217.1
"271",44.9442,119.1336,1195.5
"272",45.432,117.0205,825.8
"273",45.8651,114.8586,1152
"274",46.2411,112.6526,967
"275",46.558,110.4077,1349.3
"276",46.8138,108.1301,1315.1
"277",47.0071,105.8263,1202.5
"278",47.1366,103.5035,1401.2
"279",47.2016,101.1691,2188
"280",47.2016,98.8309,2509.5
"281",47.1366,96.4965,1922
"282",47.0071,94.1737,1342.3
"283",46.8138,91.8699,3198.6
"284",46.558,89.5923,941.9
"285",46.2411,87.3474,662
"286",45.8651,85.1414,764.6
"287",45.432,82.9795,2226
"288",44.9442,80.8664,2045.8
"289",44.4042,78.8059,2257.1
"290",43.8149,76.8014,738.6
"291",43.1789,74.8552,995.1
"292",41.0204,69.3814,405
"293",40.2271,67.6804,323
"294",39.4016,66.0409,414.5
"295",38.5467,64.4623,221.3
"296",36.7595,61.4831,242.2
"297",35.8323,60.0796,1406.1
"298",34.8858,58.7314,872.8
"299",33.9223,57.4366,860
"300",31.9528,55,1133
"301",30.9507,53.8542,1462.4
"302",29.9394,52.7543,1596.1
"303",43.1217,129.876,506.4
"304",43.8733,128.0092,609.4
"305",44.5832,126.0754,175.5
"306",45.2482,124.0755,131.4
"307",45.8651,122.0113,301.9
"308",46.4309,119.8852,1080
"309",46.9425,117.7004,717
"310",47.3973,115.4612,721.9
"311",47.7924,113.1726,1028.6
"312",48.1256,110.8403,1272.4
"313",48.3948,108.4711,1680.3
"314",48.5983,106.0725,1107.9
"315",48.7347,103.6522,1201.7
"316",48.8031,101.2189,1822
"317",48.8031,98.7811,2016.3
"318",48.7347,96.3478,2173.1
"319",48.5983,93.9275,1180.1
"320",48.1256,89.1597,2614.5
"321",47.3973,84.5388,1094.8
"322",46.9425,82.2996,769
"323",46.4309,80.1148,447.3
"324",45.8651,77.9887,385.6
"325",45.2482,75.9245,376.5
"326",44.5832,73.9246,502.5
"327",43.8733,71.9908,422.1
"328",43.1217,70.124,1099.9
"329",42.3316,68.3245,209
"330",41.5059,66.5922,254.1
"331",40.6478,64.9262,259.2
"332",39.7602,63.3257,179.7
"333",38.8459,61.789,160
"334",35.9697,57.5448,1489.3
"335",34.9748,56.2454,711.3
"336",33.9655,55,983
"337",32.944,53.8065,992.9
"338",30.8718,51.5664,3318.8
"339",43.6402,132.7995,735.7
"340",44.4638,130.9638,646.7
"341",45.2482,129.0546,902.9
"342",45.9899,127.0721,228
"343",46.6857,125.0169,145.7
"344",47.3319,122.8906,239.2
"345",47.9253,120.6955,1156.8
"346",48.4625,118.4349,695
"347",48.9404,116.1134,781.7
"348",49.3561,113.7363,847.9
"349",49.707,111.3099,1519.4
"350",49.9906,108.8418,1145.8
"351",50.2051,106.3402,638.9
"352",50.3489,103.8141,1063
"353",50.4211,101.273,1572.7
"354",50.4211,98.727,2260.2
"355",50.3489,96.1859,1900.2
"356",50.2051,93.6598,887.6
"357",49.707,88.6901,2214.5
"358",49.3561,86.2637,2088.8
"359",48.9404,83.8866,1206.6
"360",48.4625,81.5651,832.9
"361",47.9253,79.3045,661
"362",47.3319,77.1094,572.9
"363",46.6857,74.9831,339
"364",45.9899,72.9279,425.2
"365",45.2482,70.9454,320.2
"366",44.4638,69.0362,260.9
"367",43.6402,67.2005,169
"368",42.7807,65.4375,231.5
"369",41.8886,63.7462,123
"370",40.9669,62.125,148.8
"371",40.0187,60.5722,164.1
"372",39.0469,59.0856,97
"373",37.0429,56.302,1128.9
"374",34.9748,53.7546,974.9
"375",33.9223,52.5634,1410.9
"376",31.7904,50.3331,1550.4
"377",44.0493,135.789,0
"378",44.9442,133.9965,272.8
"379",45.8028,132.125,308.5
"380",46.6218,130.1735,317.9
"381",47.3973,128.1416,284
"382",48.1256,126.0296,274.7
"383",48.8031,123.8387,283.2
"384",49.426,121.5713,880.8
"385",49.9906,119.2307,546.4
"386",50.4935,116.8214,774
"387",50.9313,114.3493,868.1
"388",51.3012,111.8215,1070.7
"389",51.6005,109.2461,945.6
"390",51.8269,106.6325,994.3
"391",51.9789,103.9909,775.4
"392",52.0552,101.3322,2190.9
"393",52.0552,98.6678,2439.7
"394",51.9789,96.0091,1859.2
"395",51.8269,93.3675,1573.5
"396",51.6005,90.7539,1886.1
"397",51.3012,88.1785,1858.1
"398",50.9313,85.6507,1305
"399",50.4935,83.1786,760.3
"400",49.9906,80.7693,261.3
"401",49.426,78.4287,514
"402",48.8031,76.1613,906
"403",48.1256,73.9704,775.1
"404",47.3973,71.8584,652.5
"405",46.6218,69.8265,353.5
"406",45.8028,67.875,264.1
"407",44.9442,66.0035,128.1
"408",44.0493,64.211,109.9
"409",43.1217,62.4959,101.3
"410",42.1647,60.856,166
"411",41.1814,59.2892,98.4
"412",40.1749,57.7927,91.6
"413",39.1478,56.3639,54
"414",34.8858,51.2686,809.8
"415",32.6934,49.0531,1615.3
"416",42.3316,142.0643,0
"417",45.3093,137.0928,0
"418",46.2411,135.2724,503.6
"419",47.1366,133.3664,83
"420",47.9919,131.373,111.2
"421",48.8031,129.2914,305.4
"422",49.5661,127.1213,328.3
"423",50.2769,124.8637,371.7
"424",50.9313,122.5206,1007
"425",51.5254,120.0952,681.3
"426",52.0552,117.5924,765.1
"427",52.517,115.0184,862.8
"428",52.9076,112.3808,1018.2
"429",53.2238,109.6888,1032.7
"430",53.4633,106.953,1151.1
"431",53.6241,104.1849,683.1
"432",53.7049,101.3972,502.1
"433",53.7049,98.6028,1111.1
"434",53.4633,93.047,319
"435",53.2238,90.3112,483.7
"436",52.9076,87.6192,530.6
"437",52.517,84.9816,207.8
"438",52.0552,82.4076,206.1
"439",51.5254,79.9048,197.1
"440",50.9313,77.4794,164
"441",50.2769,75.1363,631.7
"442",49.5661,72.8787,537.4
"443",48.8031,70.7086,456.8
"444",47.9919,68.627,367
"445",47.1366,66.6336,358
"446",46.2411,64.7276,218
"447",45.3093,62.9072,87.1
"448",44.3448,61.1702,54.7
"449",43.3511,59.514,59
"450",42.3316,57.9357,63
"451",41.2892,56.4321,203.8
"452",40.2271,55,42.6
"453",34.7085,48.7966,2010.7
"454",33.5787,47.725,1834.4
"455",43.4664,143.4926,841.2
"456",47.5284,136.6341,488.8
"457",48.4625,134.6952,40
"458",49.3561,132.6609,644.8
"459",50.2051,130.5297,425.6
"460",51.0049,128.3008,163.7
"461",51.7513,125.9744,324.6
"462",52.4395,123.5523,800.1
"463",53.0653,121.0375,645.1
"464",53.6241,118.4349,662.8
"465",54.112,115.7512,1048.5
"466",54.525,112.9946,1277.6
"467",54.8599,110.1755,1939.2
"468",55.1136,107.3058,760.4
"469",55.2841,104.3987,679.6
"470",55.3697,101.4688,469.9
"471",55.3697,98.5312,532.1
"472",55.2841,95.6013,341.1
"473",55.1136,92.6942,534.8
"474",54.8599,89.8245,482.8
"475",54.525,87.0054,234
"476",54.112,84.2488,235.1
"477",53.6241,81.5651,118
"478",53.0653,78.9625,119
"479",52.4395,76.4477,116.8
"480",51.7513,74.0256,300.6
"481",51.0049,71.6992,361.1
"482",50.2051,69.4703,315.4
"483",49.3561,67.3391,621
"484",48.4625,65.3048,238
"485",47.5284,63.3659,79.2
"486",46.558,61.5198,52.5
"487",45.5551,59.7636,31
"488",44.5234,58.0941,208.9
"489",43.4664,56.5074,172
"490",42.3874,55,188.6
"491",35.6045,47.4054,1954
"492",34.4444,46.3475,1492.2
"493",49.7776,136.1193,21.7
"494",51.6005,131.866,917.5
"495",52.4395,129.5778,261.2
"496",53.2238,127.1811,199
"497",53.9484,124.6769,464.3
"498",54.6084,122.0679,712.7
"499",55.1987,119.359,733.2
"500",55.7149,116.5571,1332.2
"501",56.1525,113.6713,726.7
"502",56.5077,110.7131,1206.8
"503",56.7771,107.6961,522.4
"504",56.9582,104.6355,533
"505",57.0492,101.5482,294
"506",57.0492,98.4518,326.2
"507",56.9582,95.3645,263.4
"508",56.7771,92.3039,256
